TIMESTAMP,median,p05,p95,density
2024-12-12,331.55085466497746,295.94557326699254,344.74340650311234,283.74056881897945
2024-12-13,323.4260026608441,299.47143899093976,364.11442798910934,282.2216428105097
2024-12-14,336.80162191178084,316.85630076820075,358.40538924659205,287.3733975356492
2024-12-15,332.39709516485436,290.763314626836,356.7605431908849,281.9313784265092
2024-12-16,331.7808792155082,306.09280391653294,347.3905420830604,280.9321585228689
2024-12-17,342.9436936919981,325.0598739311989,362.1222041228289,301.3564970931442
2024-12-18,322.2729545465529,302.8387936368045,349.49366645724956,291.12281350185447
2024-12-19,344.0263625755824,320.8156801170739,370.8494634460861,306.6188614755636
2024-12-20,345.0277141468186,318.0290477853391,398.4725188330292,290.6720422466879
2024-12-21,347.3806287989786,313.2531398984832,382.35279221568817,300.76244917660483
2024-12-22,382.39972002447234,319.5858839751071,413.24339819349035,309.38488675119123
2024-12-23,410.5301370044481,379.9415482934743,603.5961971421849,318.11711507512445
2024-12-24,359.3816274891516,323.74547310604856,472.1674890065826,328.9534347726788
2024-12-25,346.12331522445794,319.80394281283753,388.3779975592395,320.18808068867526
2024-12-26,347.97148923323215,303.25644939979094,381.7908234702647,322.79358927015966
2024-12-27,346.31701194843157,305.6798644080231,365.8953002948267,322.4553183877389
2024-12-28,351.85933211460565,321.52446553661605,373.59683034898285,327.92109237148713
2024-12-29,354.05677389186457,323.5683184380608,371.252365969151,329.66180064419416
2024-12-30,349.3240862735613,321.6156772268597,370.317129780787,325.8620207775758
2024-12-31,346.7409820798149,313.2477091948605,372.23321322483093,323.1509618637604
2025-01-01,354.6741856370325,324.4676438354411,390.3223392293471,330.2366719153003
2025-01-02,378.44189731140546,345.0858811700477,421.0491179218114,351.3852342724285
2025-01-03,396.259732998661,376.2650962773685,422.9813713371538,339.84539708289964
2025-01-04,388.9208375342494,374.6278133896926,426.61242150026754,334.1244308713483
2025-01-05,382.2065248362739,353.99922789812825,412.0787709177461,322.5371517605687
2025-01-06,398.71720423996277,373.45269329882717,431.9599836847672,338.32601123458863
2025-01-07,412.6825711028252,400.1517846424118,427.20822254349247,317.4481316175578
2025-01-08,393.71640351568584,374.1073454482163,413.1051655939938,301.0064247061818
2025-01-09,390.76569678532627,376.25627255235645,414.378510512337,301.63311214614146
2025-01-10,388.39844539387053,369.62441111223393,418.314540075715,298.53839000297506
2025-01-11,387.312351383032,374.84845112254976,419.9631062578559,291.43141563809786
2025-01-12,375.38861216223904,353.02267286996425,408.4472389716791,275.312513503659
2025-01-13,373.7944854416714,347.7308764242862,394.3415623313954,276.47521112549657
2025-01-14,373.8582674801005,324.83262124747665,394.7017731878981,277.54882515226467
2025-01-15,386.42479514695464,350.26022582678803,441.45681333225144,283.3026357382365
2025-01-16,381.4395927661198,362.3257750733659,423.40517611472325,280.26421217202045
2025-01-17,383.71637947711866,348.8070118673339,400.39453732577664,283.1855199093127
2025-01-18,385.129026245222,347.85919474347867,410.2173058997963,284.01845593305455
2025-01-19,393.7985685259093,367.87492528294365,431.60548103561587,290.19791343103117
2025-01-20,406.8511836443507,371.7426736313332,449.2033118510095,289.367840429837
2025-01-21,421.8117017331109,391.9179748376816,453.4423717881481,304.9976151360166
2025-01-22,430.33912783084,394.3018577998732,472.3334472459921,308.9297400077818
2025-01-23,435.55924187487574,413.71300980137784,465.2513944214992,301.84285646214533
2025-01-24,418.8117734115459,380.19531071225083,454.3629941525073,293.6968958005231
2025-01-25,408.87799909144417,386.0351227842285,443.47129447669005,288.1451720165216
2025-01-26,442.8251283526235,410.4943221346777,480.23617734858937,280.44656640444805
2025-01-27,449.44797684925226,428.7878469574504,492.27573439876056,284.7310591379488
