"date","hs","swe_deltasnow","swe_hs2swe","swe_pi16","swe_st10","swe_jo09"
2025-02-22,1.84236805555556,598.845729359057,601.804438816896,578.503569444444,649.444436113802,553.90600272129
2025-02-23,1.83599305555556,598.845729359057,601.804438816896,578.3378125,648.560314720762,551.45096079939
2025-02-24,1.8349375,598.845729359057,601.804438816896,579.84025,649.830764939692,551.044805179688
2025-02-25,1.87061111111111,604.946967824216,607.650131879072,592.983722222222,666.128114920064,564.827487312388
2025-02-26,1.86713888888889,604.946967824216,610.024017649604,593.750166666667,666.414022273331,563.480841417088
2025-02-27,1.85273611111111,604.946967824216,610.024017649604,591.022819444444,662.195884266346,557.906752577188
2025-02-28,1.84773611111111,604.946967824216,610.024017649604,591.275555555556,661.826103083561,555.976143971188
2025-03-01,1.84720833333333,607.456344351241,610.024017649604,592.953875,663.285848024021,589.125369563311
2025-03-02,1.84115277777778,607.456344351241,610.024017649604,592.851194444444,662.458503641574,586.904227976644
2025-03-03,1.83659722222222,607.456344351241,610.024017649605,593.220902777778,662.237312359682,585.234502631244
2025-03-04,1.83690972222222,607.456344351241,610.024017649605,595.15875,664.016886400943,585.349006124806
2025-03-05,1.82922916666667,607.456344351241,610.024017649605,594.499479166667,662.481332973681,582.536256399449
2025-03-06,1.82052777777778,607.456344351241,610.024017649605,593.492055555555,660.50907235501,579.353339254894
2025-03-07,1.81945138888889,607.456344351241,610.024017649605,594.960604166667,661.683131539985,578.959872581011
2025-03-08,1.81950694444444,607.456344351241,610.024017649605,596.798277777778,663.319811073624,578.980158547838
2025-03-09,1.87090277777778,614.837422769989,617.770917509524,615.527013888889,686.379022480812,597.834777983244
2025-03-10,1.88613194444444,619.142624961555,622.523233501447,622.423541666667,694.407228790528,603.447963859138
2025-03-11,1.9305,626.463338336277,630.408646834219,638.9955,714.763166861555,619.8700365
2025-03-12,2.03669444444444,640.901771696809,646.104392719788,676.182555555556,761.675401126194,659.591739013775
2025-03-13,2.12718055555556,656.487397159694,662.075051889711,708.351125,802.433902402966,693.900554470425
2025-03-14,2.2193125,674.293666229793,679.19600689276,741.250375,844.397334939214,729.270803539063
2025-03-15,2.35093055555556,698.270195124175,701.786141860168,787.561736111111,904.374732780709,780.565841376425
2025-03-16,2.34294444444444,710.51346885517,710.505619781002,787.229333333333,902.717434706714,777.427737958775
2025-03-17,2.29745833333333,715.103488586418,710.505619781002,774.243458333333,884.382832616447,759.617634116211
2025-03-18,2.27115277777778,718.767260199232,710.505619781002,767.649638888889,874.567254763993,749.366804584644
2025-03-19,2.25076388888889,721.536726632747,710.505619781002,763.008958333333,867.362587489207,741.446331982123
2025-03-20,2.23449305555556,721.536726632747,710.505619781002,759.727638888889,861.967338073072,735.141125552638
2025-03-21,2.21683333333333,721.536726632747,710.505619781002,755.940166666667,855.943333565172,728.313237849711
2025-03-22,2.26134027777778,730.045677501043,718.916744669235,773.378375,877.477563859239,745.552246032506
2025-03-23,2.24329861111111,730.045677501043,721.776888311995,769.451423611111,871.244427783134,738.551694567811
2025-03-24,2.23154166666667,732.903830466252,724.39389094477,767.650333333333,867.791923441419,733.998883859811
2025-03-25,2.23877083333333,737.205503310631,728.853189800677,772.3759375,872.778103447328,736.797471788249
2025-03-26,2.2315625,739.788182040943,731.897532373582,772.120625,871.326013885432,734.006932226562
2025-03-27,2.23339583333333,742.98640328985,735.642833173645,774.988354166667,873.897014609457,734.716399005899
2025-03-28,2.24584722222222,747.174637542953,740.623342169405,781.554833333333,881.214451723061,739.539577269444
2025-03-29,2.28635416666667,754.45875997201,749.02912230816,797.937604166667,901.152657024838,755.286156504299
2025-03-30,2.48794444444444,779.941037231105,776.581668883115,870.780555555556,994.5735251433,834.920688734775
2025-03-31,2.52377083333333,795.208985402751,789.985644875282,885.8435625,1012.92100678032,849.294405044249
2025-04-01,2.44897222222222,795.208985402751,789.985644875282,862.038222222222,980.407707579999,861.893112307356
2025-04-02,2.39961805555556,798.141657989938,789.985644875282,847.065173611111,959.644270813279,843.457514422628
2025-04-03,2.37247222222222,798.141657989938,789.985644875282,839.855166666667,949.04246883946,833.336197837955
2025-04-04,2.34990972222222,800.757322234374,789.985644875282,834.217951388889,940.523661555054,824.933890413387
2025-04-05,2.32545138888889,800.757322234374,789.985644875282,827.860694444444,931.131125568704,815.835934783858
2025-04-06,2.31113194444444,800.757322234374,789.985644875282,825.074104166667,926.34471538486,810.514389742778
2025-04-07,2.29706944444444,800.757322234374,789.985644875282,822.350861111111,921.661604207395,805.291945515747
2025-04-08,2.28791666666667,800.757322234374,789.985644875282,821.362083333333,919.200723404793,801.89478476525
2025-04-09,2.27808333333333,800.757322234374,789.985644875282,820.11,916.416793248792,798.24665236565
2025-04-10,2.26477777777778,800.757322234374,789.985644875282,817.584777777778,912.03740639842,793.313162570356
2025-04-11,2.25384027777778,800.757322234374,789.985644875282,815.890180555556,908.723566842755,789.260079851137
2025-04-12,2.281375,806.763516110564,794.911767212116,828.139125,922.963354293851,799.467659515625
2025-04-13,2.28742361111111,810.285434621386,798.417500450631,832.622194444444,927.403258914619,801.711806172533
